STATION,DATE,AWND,TAVG,TMAX,TMIN,Temp_Diff
USW00014768,6/1/2019,8.05,66,79,57,22
USW00014768,6/2/2019,9.62,62,68,52,16
USW00014768,6/3/2019,13.87,54,63,43,20
USW00014768,6/4/2019,6.71,55,66,43,23
USW00014768,6/5/2019,5.59,66,79,58,21
USW00014768,6/6/2019,3.8,63,74,54,20
USW00014768,6/7/2019,4.47,65,79,51,28
USW00014768,6/8/2019,6.49,67,78,52,26
USW00014768,6/9/2019,8.05,69,85,52,33
USW00014768,6/10/2019,10.51,70,76,57,19
USW00014768,6/11/2019,12.75,64,73,53,20
USW00014768,6/12/2019,8.05,63,78,48,30
USW00014768,6/13/2019,9.17,65,66,58,8
USW00014768,6/14/2019,16.33,62,72,54,18
USW00014768,6/15/2019,13.65,66,75,61,14
USW00014768,6/16/2019,5.59,60,63,51,12
USW00014768,6/17/2019,4.7,61,74,49,25
USW00014768,6/18/2019,5.82,68,78,60,18
USW00014768,6/19/2019,5.14,69,81,57,24
USW00014768,6/20/2019,7.83,67,68,61,7
USW00014768,6/21/2019,9.62,67,76,60,16
USW00014768,6/22/2019,7.61,67,77,53,24
USW00014768,6/23/2019,5.82,68,81,53,28
USW00014768,6/24/2019,6.93,69,82,57,25
USW00014768,6/25/2019,11.63,76,80,64,16
USW00014768,6/26/2019,11.86,74,86,63,23
USW00014768,6/27/2019,5.14,74,86,60,26
USW00014768,6/28/2019,5.37,75,89,62,27
USW00014768,6/29/2019,8.72,77,84,68,16
USW00014768,6/30/2019,9.4,71,74,59,15
USW00014768,7/1/2019,3.8,68,81,55,26
USW00014768,7/2/2019,6.93,73,80,66,14
USW00014768,7/3/2019,3.58,76,85,66,19
USW00014768,7/4/2019,2.91,78,90,65,25
USW00014768,7/5/2019,7.61,79,88,73,15
USW00014768,7/6/2019,6.93,78,85,72,13
USW00014768,7/7/2019,9.17,72,76,58,18
USW00014768,7/8/2019,4.25,67,78,53,25
USW00014768,7/9/2019,4.25,69,84,54,30
USW00014768,7/10/2019,5.59,75,91,62,29
USW00014768,7/11/2019,8.5,79,86,69,17
USW00014768,7/12/2019,9.4,70,75,63,12
USW00014768,7/13/2019,9.4,72,86,60,26
USW00014768,7/14/2019,8.5,75,80,63,17
USW00014768,7/15/2019,4.03,70,82,59,23
USW00014768,7/16/2019,9.4,76,92,67,25
USW00014768,7/17/2019,5.14,76,82,72,10
USW00014768,7/18/2019,4.7,76,85,70,15
USW00014768,7/19/2019,10.74,80,89,73,16
USW00014768,7/20/2019,11.18,82,92,75,17
USW00014768,7/21/2019,9.62,80,85,66,19
USW00014768,7/22/2019,2.91,70,72,66,6
USW00014768,7/23/2019,5.14,71,79,61,18
USW00014768,7/24/2019,6.26,68,80,57,23
USW00014768,7/25/2019,6.71,70,83,57,26
USW00014768,7/26/2019,4.47,72,85,62,23
USW00014768,7/27/2019,6.93,75,88,62,26
USW00014768,7/28/2019,11.41,77,85,70,15
USW00014768,7/29/2019,8.05,79,91,68,23
USW00014768,7/30/2019,7.16,76,84,68,16
USW00014768,7/31/2019,4.92,73,83,61,22
USW00014768,8/1/2019,6.93,71,82,59,23
USW00014768,8/2/2019,4.47,69,84,54,30
USW00014768,8/3/2019,4.92,74,87,60,27
USW00014768,8/4/2019,5.82,72,79,57,22
USW00014768,8/5/2019,4.92,69,86,54,32
USW00014768,8/6/2019,8.5,75,90,66,24
USW00014768,8/7/2019,4.7,72,78,68,10
USW00014768,8/8/2019,8.05,71,82,64,18
USW00014768,8/9/2019,10.29,70,79,61,18
USW00014768,8/10/2019,9.62,67,77,57,20
USW00014768,8/11/2019,8.5,67,82,53,29
USW00014768,8/12/2019,8.95,72,86,61,25
USW00014768,8/13/2019,4.47,76,83,64,19
USW00014768,8/14/2019,7.16,72,78,60,18
USW00014768,8/15/2019,6.04,68,80,57,23
USW00014768,8/16/2019,3.58,71,83,61,22
USW00014768,8/17/2019,6.04,70,79,64,15
USW00014768,8/18/2019,6.93,74,87,65,22
USW00014768,8/19/2019,9.4,77,84,69,15
USW00014768,8/20/2019,4.7,74,87,62,25
USW00014768,8/21/2019,7.83,77,87,67,20
USW00014768,8/22/2019,8.05,72,76,57,19
USW00014768,8/23/2019,6.49,65,74,55,19
USW00014768,8/24/2019,6.26,63,72,52,20
USW00014768,8/25/2019,5.82,64,78,51,27
USW00014768,8/26/2019,5.82,67,77,54,23
USW00014768,8/27/2019,9.17,70,79,62,17
USW00014768,8/28/2019,8.28,73,83,61,22
USW00014768,8/29/2019,9.4,67,77,58,19
USW00014768,8/30/2019,10.96,71,79,56,23
USW00014768,8/31/2019,4.7,63,74,51,23
USW00014768,9/1/2019,3.58,64,76,53,23
USW00014768,9/2/2019,6.04,68,75,63,12
USW00014768,9/3/2019,5.59,69,79,60,19
USW00014768,9/4/2019,11.63,72,76,55,21
USW00014768,9/5/2019,3.8,62,73,51,22
USW00014768,9/6/2019,5.14,61,74,52,22
USW00014768,9/7/2019,7.83,63,72,54,18
USW00014768,9/8/2019,5.82,61,67,53,14
USW00014768,9/9/2019,4.92,59,67,51,16
USW00014768,9/10/2019,5.59,63,83,49,34
USW00014768,9/11/2019,8.5,76,85,66,19
USW00014768,9/12/2019,12.53,65,66,57,9
USW00014768,9/13/2019,13.42,61,71,51,20
USW00014768,9/14/2019,12.75,68,75,58,17
USW00014768,9/15/2019,5.37,62,73,55,18
USW00014768,9/16/2019,6.49,64,72,52,20
USW00014768,9/17/2019,3.36,61,74,48,26
USW00014768,9/18/2019,4.47,60,75,49,26
USW00014768,9/19/2019,4.92,61,76,48,28
USW00014768,9/20/2019,5.14,64,79,53,26
USW00014768,9/21/2019,5.82,68,85,56,29
USW00014768,9/22/2019,8.05,74,88,65,23
USW00014768,9/23/2019,10.51,73,76,61,15
USW00014768,9/24/2019,7.61,63,69,53,16
USW00014768,9/25/2019,8.5,63,79,51,28
USW00014768,9/26/2019,7.16,66,73,50,23
USW00014768,9/27/2019,7.83,59,76,48,28
USW00014768,9/28/2019,8.28,70,76,62,14
USW00014768,9/29/2019,10.07,60,63,55,8
USW00014768,9/30/2019,5.14,58,68,53,15
USW00014768,10/1/2019,13.2,74,88,68,20
USW00014768,10/2/2019,10.51,65,70,53,17
USW00014768,10/3/2019,8.05,53,57,50,7
USW00014768,10/4/2019,7.83,52,57,45,12
USW00014768,10/5/2019,8.5,49,60,39,21
USW00014768,10/6/2019,9.62,61,75,55,20
USW00014768,10/7/2019,6.04,61,64,50,14
USW00014768,10/8/2019,3.58,54,65,42,23
USW00014768,10/9/2019,4.7,50,64,38,26
USW00014768,10/10/2019,4.25,51,65,39,26
USW00014768,10/11/2019,5.37,54,71,39,32
USW00014768,10/12/2019,6.93,54,58,40,18
USW00014768,10/13/2019,8.95,50,67,37,30
USW00014768,10/14/2019,7.83,52,54,43,11
USW00014768,10/15/2019,6.93,49,61,39,22
USW00014768,10/16/2019,8.72,53,59,46,13
USW00014768,10/17/2019,14.99,47,49,44,5
USW00014768,10/18/2019,9.62,47,53,36,17
USW00014768,10/19/2019,4.47,43,58,33,25
USW00014768,10/20/2019,2.46,49,69,38,31
USW00014768,10/21/2019,7.38,52,67,39,28
USW00014768,10/22/2019,9.84,60,63,53,10
USW00014768,10/23/2019,12.53,53,58,46,12
