Payment Date,Tender,Card Brand,Amount
24-Jun-2020 07:36 PM EDT,Debit Card,VISA,33.56
24-Jun-2020 07:25 PM EDT,Debit Card,VISA,14.46
24-Jun-2020 07:06 PM EDT,Credit Card,VISA,10.39
24-Jun-2020 06:39 PM EDT,Debit Card,VISA,8.14
24-Jun-2020 04:14 PM EDT,Credit Card,MC,16.15
24-Jun-2020 04:09 PM EDT,Debit Card,VISA,14.6
24-Jun-2020 03:42 PM EDT,Debit Card,MC,11.65
24-Jun-2020 03:41 PM EDT,Debit Card,MC,8.7
24-Jun-2020 03:33 PM EDT,Debit Card,VISA,15.72
24-Jun-2020 02:29 PM EDT,Cash,,13.2
24-Jun-2020 02:22 PM EDT,Debit Card,VISA,5.62
24-Jun-2020 02:21 PM EDT,Credit Card,VISA,26.68
24-Jun-2020 01:54 PM EDT,Debit Card,MC,13.62
24-Jun-2020 01:49 PM EDT,Cash,,30.54
24-Jun-2020 01:39 PM EDT,Credit Card,VISA,19.52
24-Jun-2020 01:18 PM EDT,Debit Card,VISA,12.07
24-Jun-2020 01:14 PM EDT,Credit Card,AMEX,18.25
24-Jun-2020 12:49 PM EDT,Cash,,25.41
24-Jun-2020 12:23 PM EDT,Cash,,8.28
23-Jun-2020 08:26 PM EDT,Credit Card,MC,14.74
23-Jun-2020 07:52 PM EDT,Credit Card,VISA,7.58
23-Jun-2020 07:26 PM EDT,Cash,,30.89
23-Jun-2020 07:04 PM EDT,Cash,,23.31
23-Jun-2020 06:16 PM EDT,Debit Card,MC,8
23-Jun-2020 06:15 PM EDT,Credit Card,MC,3.79
23-Jun-2020 05:12 PM EDT,Debit Card,MC,24.15
23-Jun-2020 05:07 PM EDT,Debit Card,MC,34.68
23-Jun-2020 05:01 PM EDT,Debit Card,VISA,38.61
23-Jun-2020 04:59 PM EDT,Cash,,18.39
23-Jun-2020 04:36 PM EDT,Cash,,9.83
23-Jun-2020 04:36 PM EDT,Debit Card,MC,9.55
23-Jun-2020 04:35 PM EDT,Debit Card,MC,8.99
23-Jun-2020 04:32 PM EDT,Cash,,5.34
23-Jun-2020 04:31 PM EDT,Debit Card,MC,10.25
23-Jun-2020 03:21 PM EDT,Cash,,11.23
23-Jun-2020 03:01 PM EDT,Cash,,27.24
23-Jun-2020 02:58 PM EDT,Credit Card,VISA,16.71
23-Jun-2020 02:00 PM EDT,Cash,,7.3
23-Jun-2020 01:44 PM EDT,Cash,,19.23
23-Jun-2020 01:10 PM EDT,Cash,,5.19
23-Jun-2020 12:49 PM EDT,Debit Card,MC,8.85
23-Jun-2020 12:49 PM EDT,Debit Card,MC,5.9
23-Jun-2020 12:48 PM EDT,Cash,,22.74
22-Jun-2020 09:24 PM EDT,Cash,,30
22-Jun-2020 09:16 PM EDT,Cash,,12.94
22-Jun-2020 09:12 PM EDT,Cash,,6.47
22-Jun-2020 09:07 PM EDT,Cash,,6.47
22-Jun-2020 09:06 PM EDT,Cash,,6.47
22-Jun-2020 09:04 PM EDT,Debit Card,VISA,1.08
22-Jun-2020 09:03 PM EDT,Debit Card,VISA,6.47
22-Jun-2020 08:34 PM EDT,Cash,,12.94
22-Jun-2020 08:30 PM EDT,Cash,,6.47
22-Jun-2020 08:30 PM EDT,Cash,,6.47
22-Jun-2020 08:29 PM EDT,Debit Card,MC,6.47
22-Jun-2020 08:23 PM EDT,Debit Card,MC,6.47
22-Jun-2020 08:18 PM EDT,Debit Card,VISA,6.47
22-Jun-2020 08:18 PM EDT,Cash,,6.47
22-Jun-2020 07:29 PM EDT,Debit Card,MC,12.94
22-Jun-2020 07:28 PM EDT,Credit Card,VISA,6.47
22-Jun-2020 07:27 PM EDT,Debit Card,VISA,12.94
22-Jun-2020 07:24 PM EDT,Debit Card,MC,25.88
22-Jun-2020 06:58 PM EDT,Debit Card,MC,12.94
22-Jun-2020 06:50 PM EDT,Debit Card,MC,25.88
22-Jun-2020 06:30 PM EDT,Debit Card,MC,19.41
22-Jun-2020 06:05 PM EDT,Debit Card,MC,6.47
22-Jun-2020 06:04 PM EDT,Cash,,6.47
22-Jun-2020 05:49 PM EDT,Debit Card,MC,6.47
22-Jun-2020 05:38 PM EDT,Debit Card,MC,12.94
22-Jun-2020 05:25 PM EDT,Credit Card,MC,12.94
22-Jun-2020 04:53 PM EDT,Cash,,6.47
22-Jun-2020 04:43 PM EDT,Debit Card,VISA,6.47
22-Jun-2020 04:08 PM EDT,Debit Card,MC,12.94
22-Jun-2020 03:52 PM EDT,Cash,,19.41
22-Jun-2020 03:45 PM EDT,Debit Card,VISA,12.94
22-Jun-2020 03:35 PM EDT,Cash,,6.47
22-Jun-2020 03:09 PM EDT,Debit Card,VISA,19.41
22-Jun-2020 03:06 PM EDT,Debit Card,VISA,12.94
22-Jun-2020 02:58 PM EDT,Cash,,6.47
22-Jun-2020 02:55 PM EDT,Cash,,12.94
22-Jun-2020 02:54 PM EDT,Debit Card,VISA,6.47
22-Jun-2020 02:54 PM EDT,Debit Card,VISA,6.47
22-Jun-2020 02:31 PM EDT,Cash,,6.47
22-Jun-2020 02:22 PM EDT,Debit Card,VISA,12.94
22-Jun-2020 01:51 PM EDT,Debit Card,MC,12.94
22-Jun-2020 01:39 PM EDT,Cash,,6.47
22-Jun-2020 01:37 PM EDT,Debit Card,VISA,12.94
